Histogram            Pb        Sm
bE_Q1_f7_b1:    947.775   1621.44
bE_Q1_f7_b2:     953.49   1635.61
bE_Q1_f7_b3:    931.369   1605.57
bE_Q1_f7_b4:    958.528   1654.28
bE_Q1_f7_b5:    901.612   1546.16
bE_Q1_f7_b6:    950.063   1654.42
bE_Q1_f7_b7:    882.481   1544.49
bE_Q1_f7_b8:    877.938   1537.43
bE_Q1_f7_b9:    876.151   1541.88
bE_Q1_f7_b10:   853.614   1529.59
bE_Q1_f7_b11:   853.589   1528.26
bE_Q1_f7_b12:   866.681   1536.29
bE_Q2_f7_b1:    952.418   1664.34
bE_Q2_f7_b2:     960.54   1682.37
bE_Q2_f7_b3:    972.614   1694.29
bE_Q2_f7_b4:    961.159   1694.69
bE_Q2_f7_b5:    945.485   1689.68
bE_Q2_f7_b6:    915.593   1656.54
bE_Q2_f7_b7:    943.618   1679.28
bE_Q2_f7_b8:    930.952   1675.82
bE_Q2_f7_b9:    942.561   1686.36
bE_Q2_f7_b10:   933.247   1658.51
bE_Q2_f7_b11:   928.841    1662.3
bE_Q2_f7_b12:   954.216   1689.25
bE_Q3_f7_b1:    891.743   1565.68
bE_Q3_f7_b2:     915.31   1630.36
bE_Q3_f7_b3:    885.159   1557.96
bE_Q3_f7_b4:     922.88   1625.85
bE_Q3_f7_b5:    882.516   1558.36
bE_Q3_f7_b6:    864.889      1510
bE_Q3_f7_b7:    902.742   1572.39
bE_Q3_f7_b8:    909.399   1589.24
bE_Q3_f7_b9:    914.307    1578.3
bE_Q3_f7_b10:    881.39   1536.48
bE_Q3_f7_b11:   918.059   1572.35
bE_Q3_f7_b12:   923.576   1583.84
bE_Q4_f7_b1:    945.215   1597.62
bE_Q4_f7_b2:    934.046   1583.93
bE_Q4_f7_b3:    949.161   1612.75
bE_Q4_f7_b4:    948.164   1620.23
bE_Q4_f7_b5:    971.426   1655.21
bE_Q4_f7_b6:    938.649    1595.2
bE_Q4_f7_b7:    932.583   1589.53
bE_Q4_f7_b8:    925.065   1589.19
bE_Q4_f7_b9:     939.51   1628.27
bE_Q4_f7_b10:   919.483   1599.06
bE_Q4_f7_b11:    979.64   1674.89
bE_Q4_f7_b12:   954.213      1622
